Date,Open,High,Low,Close,Price_Percent_Change,Volatility,Price_Change,Gain,Loss,Avg_Gain,Avg_Loss,RS,RSI,12_Day_EMA,26_Day_EMA,MACD,MACD_Signal,MACD_Histogram,Volume,Gold_Close
1968-04-01,91.110001,93.550003,91.110001,92.480003,2.50%,19.28%,2.280006,0.024963044,0,0.004443741,0.002684424,1.655379661,62.3406018,89.38166675,89.36846158,0.013205173,-0.306723645,3.127043619,17730000,38
1968-04-02,92.480003,93.440002,91.389999,92.639999,0.17%,19.15%,0.159996,0.001728566,0,0.00456721,0.00252592,1.808137488,64.389208,89.67666683,89.46307692,0.21358991,-0.23411678,3.36046262,14520000,37.6
1968-04-03,92.639999,95.129997,92.239998,93.470001,0.89%,15.43%,0.830002,0.008919537,0,0.00520432,0.00115618,4.501305474,81.82249641,90.00000058,89.57615392,0.42384666,-0.146958596,3.337983699,19290000,37.7
1968-04-04,93.470001,94.589996,92.629997,93.839996,0.40%,15.20%,0.369995,0.003950622,0,0.004858455,0.00115618,4.202161054,80.77721951,90.40416708,89.72076908,0.683398006,-0.030533991,3.241430933,14340000,36.7
1968-04-05,93.839996,94.510002,92.669998,93.290001,-0.59%,15.92%,-0.549995,0,0.00587823,0.004466716,0.001576054,2.834113978,73.91835491,90.76333358,89.87192292,0.89141066,0.107713917,3.046452308,12570000,37.2
1968-04-08,93.290001,95.449997,93.110001,94.949997,1.76%,16.63%,1.659996,0.017637474,0,0.005726535,0.001096077,5.224576295,83.93464948,91.31499983,90.09653815,1.218461679,0.278825038,2.831238789,13010000,37
1968-04-10,94.949997,97.110001,94.739998,95.669998,0.76%,16.48%,0.720001,0.007554343,0,0.006266131,0.001088053,5.759028716,85.20497483,91.9191665,90.39461508,1.524551423,0.485520165,2.631658944,20410000,37.25
1968-04-11,95.669998,96.93,94.809998,96.529999,0.89%,15.04%,0.860001,0.008949082,0,0.006905351,0.000564351,12.23591719,92.44480012,92.60249958,90.73346115,1.869038429,0.729466022,2.259892702,14230000,37.6
1968-04-15,96.529999,97.360001,95.330002,96.589996,0.06%,15.08%,0.059997,0.000621344,0,0.006876994,0.000564351,12.18567007,92.41600924,93.24083258,91.015384,2.225448583,1.006994503,1.828261984,14220000,38.05
1968-04-16,96.589996,97.540001,95.720001,96.620003,0.03%,14.92%,0.030007,0.000310615,0,0.006899181,0.000491612,14.03378757,93.34831628,93.8208325,91.30461496,2.516217538,1.285106988,1.276495769,15680000,38.1
1968-04-17,96.620003,97.400002,95.760002,96.809998,0.20%,15.09%,0.189995,0.001964484,0,0.00655595,0.000491612,13.33561298,93.02436525,94.42416567,91.60384569,2.820319974,1.574743662,0.734551704,14090000,38
1968-04-18,96.809998,97.889999,96.120003,97.080002,0.28%,15.12%,0.270004,0.002785127,0,0.006170942,0.000491612,12.55245903,92.62126528,94.99749942,91.87115358,3.12634584,1.875021348,0.203824947,15890000,37.6
1968-04-19,97.080002,97.080002,95.150002,95.849998,-1.28%,17.57%,-1.230004,0,0.012750953,0.006170942,0.001330656,4.637518975,82.2617005,95.27833233,92.08730723,3.191025103,2.153646581,-0.294864043,14560000,37.65
