Date,Open,High,Low,Close,Price_Percent_Change,Volatility,Price_Change,Gain,Loss,Avg_Gain,Avg_Loss,RS,RSI,12_Day_EMA,26_Day_EMA,MACD,MACD_Signal,MACD_Histogram,Volume,
1968-05-20,96.900002,97.410004,95.800003,96.449997,-0.47%,6.78%,-0.450005,0,0.450005,0.184151447,0.208744971,0.882183869,46.87022791,98.08666742,97.48730792,0.599359494,27.53621139,-26.9368519,11180000,
1968-05-21,96.449997,97.519997,95.919998,96.93,0.50%,6.74%,0.480003,0.480003,0,0.1314295,0.205715286,0.638890297,38.98310327,97.94250042,97.500385,0.442115417,27.29876477,-26.85664935,13160000,
1968-05-22,96.93,98.169998,96.470001,97.18,0.26%,6.14%,0.25,0.25,0,0.139898821,0.191021337,0.732372749,42.27570245,97.84500058,97.52192335,0.323077237,27.0524602,-26.72938296,14200000,
1968-05-23,97.18,97.790001,96.379997,96.970001,-0.22%,6.10%,-0.209999,0,0.209999,0.129906048,0.192376884,0.675268492,40.30807571,97.68416717,97.52807731,0.156089859,26.77004544,-26.61395558,12840000,
1968-05-24,96.970001,97.730003,96.209999,97.150002,0.19%,6.16%,0.180001,0.180001,0,0.133484259,0.178635678,0.747242996,42.76697618,97.53750033,97.53076962,0.006730718,26.54538313,-26.53865242,13300000,
1968-05-27,97.150002,97.809998,96.290001,96.989998,-0.16%,5.41%,-0.160004,0,0.160004,0.073571929,0.210000786,0.350341206,25.94464307,97.42083358,97.57461577,-0.153782186,26.17341871,-26.32720089,12720000,
1968-05-28,96.989998,98.199997,96.410004,97.620003,0.65%,6.35%,0.630005,0.630005,0,0.113317148,0.19500073,0.581111405,36.75334978,97.3475005,97.66307742,-0.315576923,25.91494048,-26.23051741,13850000,
1968-05-29,97.620003,98.739998,97.010002,97.919998,0.31%,6.23%,0.299995,0.299995,0,0.12665128,0.181072106,0.699452185,41.15750895,97.32500017,97.71307723,-0.388077064,25.74964347,-26.13772054,14100000,
1968-05-31,97.919998,99.400002,97.660004,98.68,0.77%,7.10%,0.760002,0.760002,0,0.171890617,0.168138384,1.022316339,50.55175193,97.37166658,97.78076962,-0.409103032,25.75791092,-26.16701395,13090000,
1968-06-03,98.720001,100.620003,98.720001,99.989998,1.32%,8.82%,1.309998,1.309998,0,0.279286,0.150714857,1.853075439,64.95010309,97.53166642,97.91038481,-0.378718391,25.96454399,-26.34326238,14970000,
1968-06-04,99.989998,101.260002,99.32,100.379997,0.39%,8.83%,0.389999,0.389999,0,0.287194071,0.13994951,2.052126306,67.23595619,97.763333,98.03230781,-0.268974808,26.24392508,-26.51289989,18030000,
1968-06-05,100.379997,101.129997,99.260002,99.889999,-0.49%,9.22%,-0.489998,0,0.489998,0.266680209,0.164952974,1.616704465,61.78399153,98.01249942,98.10615388,-0.093654468,26.44103368,-26.53468815,15590000,
1968-06-06,99.889999,101.589996,99.5,100.650002,0.76%,9.12%,0.760003,0.760003,0,0.301917551,0.153170618,1.971119229,66.34264992,98.36249983,98.22884631,0.133653526,26.73214391,-26.59849038,16130000,
1968-06-07,100.650002,101.889999,100.239998,101.269997,0.61%,8.17%,0.619995,0.619995,0,0.405714357,0.093571857,4.335858767,81.25887428,98.72416625,98.35576923,0.368397019,27.15663371,-26.78823669,17320000,
1968-06-10,101.269997,102.25,100.419998,101.410004,0.14%,7.42%,0.140007,0.140007,0,0.38673526,0.086888153,4.45095501,81.65459084,99.07666658,98.46423108,0.612435506,27.73813232,-27.12569681,14640000,
1968-06-11,101.410004,102.400002,100.739998,101.660004,0.25%,7.40%,0.25,0.25,0,0.376968456,0.080681856,4.672282873,82.37041378,99.46750017,98.57961569,0.887884474,28.22859434,-27.34070987,15700000,
1968-06-13,101.660004,102.839996,100.550003,101.25,-0.40%,8.05%,-0.410004,0,0.410004,0.350042138,0.104204867,3.359172645,77.05986706,99.80916667,98.69115423,1.118012436,28.62532947,-27.50731704,21350000,
1968-06-14,101.25,101.82,99.980003,101.129997,-0.12%,7.94%,-0.120003,0,0.120003,0.381428929,0.084286357,4.52539345,81.90174132,100.1541666,98.77692327,1.377243314,28.97980118,-27.60255786,14690000,
1968-06-17,101.129997,101.709999,99.43,100.129997,-0.99%,9.66%,-1,0,1,0.354184005,0.149694474,2.36604595,70.29155232,100.3633328,98.82384608,1.539486673,29.05755281,-27.51806613,12570000,
1968-06-18,100.129997,101.089996,99.43,99.989998,-0.14%,9.64%,-0.139999,0,0.139999,0.328885148,0.149001941,2.207254122,68.82068081,100.5358328,98.8853845,1.65044825,29.11027439,-27.45982614,13630000,
1968-06-20,99.989998,101.599998,99.519997,101.510002,1.51%,10.98%,1.520004,1.520004,0,0.413965066,0.138358945,2.991964604,74.94967769,100.7716663,99.00115381,1.770512442,29.32290334,-27.5523909,16290000,
1968-06-21,101.510002,101.589996,99.800003,100.660004,-0.84%,11.96%,-0.849998,0,0.849998,0.410714857,0.215000143,1.910300392,65.6392858,100.8275001,99.09615388,1.731346199,29.34716688,-27.61582068,13450000,
