Date,Open,High,Low,Close,Price_Percent_Change,Volatility,Price_Change,Gain,Loss,Avg_Gain,Avg_Loss,RS,RSI,12_Day_EMA,26_Day_EMA,MACD,MACD_Signal,MACD_Histogram,Volume,Gold_Close
2014-10-09,352.747986,382.726013,347.687012,365.026001,3.37%,61.23%,12.085999,12.085999,0,3.999498643,7.324356071,0.546054643,35.3192331,357.6165847,,,,,83641104,1238.19
2014-10-10,364.687012,375.066986,352.963013,361.562012,-0.95%,61.10%,-3.463989,0,3.463989,3.713820168,7.048615566,0.526886469,34.50724594,356.3150023,,,,,43665700,1246.6
2014-10-11,361.362,367.19101,355.950989,362.299011,0.20%,61.21%,0.736999,0.736999,0,3.501190085,6.545143026,0.5349295,34.85042798,355.2176691,,,,,13345200,1249.3
2014-10-12,362.605988,379.433014,356.144012,378.549011,4.39%,60.09%,16.25,16.25,0,4.411819365,6.07763281,0.725910811,42.05957843,354.5180867,382.8758087,-28.35772199,,,17552800,1241.03
2014-10-13,377.92099,397.226013,368.897003,390.414001,3.09%,61.40%,11.86499,11.86499,0,6.060355,4.992712786,1.213840103,54.82961941,355.0846709,380.301962,-25.21729104,,,35221400,1232.15
2014-10-14,391.691986,411.697998,391.324005,400.869995,2.64%,61.10%,10.455994,10.455994,0,6.374329214,4.636090444,1.374936337,57.89360817,357.2345046,379.3954232,-22.16091865,,,38491500,1231.46
2014-10-15,400.954987,402.22699,388.765991,394.77301,-1.53%,61.40%,-6.096985,0,6.096985,5.919019985,4.740440055,1.248622473,55.52832848,360.1729227,379.3945394,-19.22161672,,,25267100,1225.4
2014-10-16,394.518005,398.807007,373.070007,382.556,-3.14%,62.21%,-12.21701,0,12.21701,5.496232843,5.274480765,1.042042447,51.02942147,364.6470896,378.3811551,-13.73406549,,,26990000,1228.4
2014-10-17,382.756012,385.477997,375.389008,383.757996,0.31%,58.91%,1.201996,1.201996,0,6.073283571,4.341426214,1.398914382,58.31447728,369.9177551,377.8018082,-7.884053147,,,13600700,1211.8
2014-10-18,383.976013,395.15799,378.971008,391.441986,1.98%,40.57%,7.68399,7.68399,0,6.188334031,4.031324342,1.535062304,60.55323774,375.0313364,377.3898843,-2.358547891,,,11416800,1198.9
2014-10-19,391.253998,393.938995,386.457001,389.54599,-0.49%,37.63%,-1.895996,0,1.895996,5.746310171,3.878800889,1.481465622,59.70123498,379.4779179,375.6112307,3.866687263,,,5914570,1174.42
2014-10-20,389.230988,390.084015,378.252014,382.845001,-1.74%,39.10%,-6.700989,0,6.700989,5.335859445,4.080385754,1.307685049,56.66653037,381.9700012,374.0589235,7.911077667,92.2411798,-84.33010214,16419000,1165.35
2014-10-21,382.42099,392.645996,380.834015,386.475006,0.94%,38.94%,3.630005,3.630005,0,5.761640214,2.169640643,2.655573509,72.64451125,383.7574183,373.0935774,10.66384087,92.84695052,-82.18310965,14188900,1168.3
2014-10-22,386.118011,388.575989,382.248993,383.15799,-0.86%,35.32%,-3.317016,0,3.317016,5.350094485,2.251596026,2.376134273,70.38032498,385.5570831,372.2756159,13.28146716,93.21378988,-79.93232272,11641300,1141.4
2014-10-23,382.962006,385.048004,356.446991,358.416992,-6.68%,44.50%,-24.740998,0,24.740998,4.967944879,3.857981881,1.287705602,56.28808185,385.2335815,370.6947314,14.53885008,93.11547143,-78.57662135,26456900,1141.2
2014-10-24,358.591003,364.345001,353.304993,358.345001,-0.02%,44.34%,-0.071991,0,0.071991,4.613091673,3.587553961,1.285859871,56.25278641,383.549914,369.9702699,13.57964408,93.18789349,-79.60824941,15585700,1176.65
2014-10-25,358.610992,359.860992,342.877014,347.270996,-3.14%,46.18%,-11.074005,0,11.074005,3.649069643,4.722499286,0.772698824,43.58883829,379.9546636,368.8858078,11.06885574,93.06020871,-81.99135298,18127500,1150.6
2014-10-26,347.487,359.221008,343.931,354.70401,2.12%,42.58%,7.433014,7.433014,0,3.919351383,4.385177908,0.893772491,47.1953466,376.1074982,367.6458082,8.461689936,92.90557484,-84.44388491,11272500,1164.8
2014-10-27,354.777008,358.631989,349.80899,352.989014,-0.48%,39.38%,-1.714996,0,1.714996,3.639397712,4.194450629,0.867669698,46.45734196,372.6254985,366.4678861,6.157612423,92.25755489,-86.09994246,13033000,1160.92
2014-10-28,353.214996,359.984009,352.678986,357.618011,1.30%,37.53%,4.628997,4.628997,0,3.710083376,3.894847013,0.95256203,48.78523782,370.5473328,365.7965792,4.750753596,91.79619322,-87.04543963,7845880,1161.96
2014-10-29,357.088989,357.833008,335.342987,335.591003,-6.36%,44.29%,-22.027008,0,22.027008,1.755571571,5.982857786,0.293433612,22.6864069,366.5334167,364.8765411,1.65687559,90.81505083,-89.15817524,18192700,1188.25
2014-10-30,335.709015,350.912994,335.071991,345.304993,2.85%,46.34%,9.71399,9.71399,0,2.324030031,5.555510801,0.418328775,29.49448553,362.6886673,365.5088102,-2.820142904,89.81944914,-92.63959204,30177900,1186.55
2014-10-31,345.009003,348.045013,337.141998,338.321014,-2.04%,46.39%,-6.983979,0,6.983979,2.158027886,5.657544244,0.381442512,27.61189904,358.4199193,366.1938488,-7.773929519,88.59242633,-96.36635585,12545400,1197.55
2014-11-01,338.649994,340.528992,321.054993,325.748993,-3.79%,45.90%,-12.572021,0,12.572021,2.003883037,6.151435441,0.325758606,24.57148721,353.6619186,366.0273097,-12.36539107,87.48885671,-99.85424778,16677200,1183.3
2014-11-02,326.075012,329.049988,320.626007,325.891998,0.04%,46.14%,0.143005,0.143005,0,1.824929357,6.371643071,0.286414248,22.26454256,348.6133346,365.6313476,-17.01801299,86.31780244,-103.3358154,8603620,1193.75
2014-11-03,325.569,334.002014,325.480988,327.553986,0.51%,46.68%,1.661988,1.661988,0,1.813290689,5.916525709,0.306478967,23.45839274,343.9796676,364.6549623,-20.67529476,85.38156326,-106.056858,12948500,1201.4
2014-11-04,327.161011,331.766998,325.076996,330.492004,0.89%,46.64%,2.938018,2.938018,0,1.893628354,5.49391673,0.344677294,25.63271469,341.6525853,363.3267317,-21.67414644,84.31222839,-105.9863748,15655500,1197.4
2014-11-05,330.683014,343.368988,330.683014,339.485992,2.69%,49.36%,8.993988,8.993988,0,2.4007969,5.101494106,0.47060662,32.00085011,340.0810012,362.477654,-22.39665283,83.66558204,-106.0622349,19817200,1201.19
2014-11-06,339.458008,352.966003,338.424011,349.290009,2.85%,43.86%,9.804017,9.804017,0,3.236929786,3.888857143,0.832360168,45.42557641,340.2492523,361.9773078,-21.72805552,83.13178398,-104.8598395,18797000,1197.9
2014-11-07,349.817993,352.731995,341.776001,342.415009,-1.99%,44.51%,-6.875,0,6.875,3.005720515,4.102153061,0.732717788,42.28719719,339.2251688,360.5875385,-21.36236963,82.88958658,-104.2519562,16834200,1191.75
2014-11-08,342.153992,347.032013,342.153992,345.488007,0.89%,42.82%,3.072998,3.072998,0,3.01052605,3.809142128,0.790342274,44.14475853,338.6000849,358.8596156,-20.2595307,82.48472719,-102.7442579,8535470,1167.35
2014-11-09,345.376007,363.626007,344.255005,363.264008,5.02%,47.19%,17.776001,17.776001,0,4.065202832,3.537060548,1.149316721,53.47358581,339.0705847,357.4132315,-18.34264683,82.89747242,-101.2401193,24205600,1210.9
2014-11-10,362.265015,374.81601,357.561005,366.924011,1.00%,47.21%,3.660003,3.660003,0,4.456643214,3.461286286,1.287568507,56.28546218,341.6816687,356.3421162,-14.66044749,83.38494235,-98.04538984,30450100,1199.01
2014-11-11,365.856995,371.309998,363.734985,367.695007,0.21%,46.98%,0.770996,0.770996,0,4.193382699,3.214051551,1.304702999,56.61046129,343.5475032,355.7705395,-12.22303633,83.96197227,-96.1850086,15838900,1209.64
2014-11-12,367.984985,429.717987,367.984985,423.561005,14.14%,67.54%,55.865998,55.865998,0,7.884283792,2.98447644,2.64176446,72.54078316,350.6508358,357.3014245,-6.650588712,86.29239091,-92.94297962,45783200,1205.78
2014-11-13,427.27301,457.092987,401.122986,420.734985,-0.67%,67.99%,-2.82602,0,2.82602,7.321120664,2.973158123,2.462405416,71.11834462,358.5663351,358.4280783,0.138256814,87.73600163,-87.59774482,58945000,1192.05
2014-11-14,418.416992,419.252014,384.789001,397.817993,-5.60%,72.99%,-22.916992,0,22.916992,7.477643714,3.2278595,2.316595166,69.84859623,364.560168,358.7462322,5.813935769,88.86722122,-83.05328545,29589200,1203.2
2014-11-15,399.649994,405.528015,371.007996,376.132996,-5.61%,75.73%,-21.684997,0,21.684997,6.943526306,4.546226464,1.527316415,60.43233867,368.6084188,358.4880782,10.12034064,89.58733372,-79.46699308,15727500,1230.85
2014-11-16,374.730011,390.799011,374.60199,387.881989,3.08%,76.06%,11.748993,11.748993,0,7.286773927,4.221496003,1.726111768,63.31771823,373.3909176,358.5421929,14.84872466,90.98978621,-76.14106155,11905600,1226.75
2014-11-17,388.348999,410.199005,377.502014,387.40799,-0.12%,76.23%,-0.473999,0,0.473999,6.766290075,3.953817645,1.711330841,63.11774333,377.3844174,358.7056545,18.67876296,92.16466615,-73.48590319,41518800,1227.95
2014-11-18,387.785004,392.402008,371.117004,375.197998,-3.20%,78.49%,-12.209992,0,12.209992,7.978071,4.784785714,1.667383134,62.51007262,379.5434165,359.3510778,20.19233873,92.78238907,-72.59005034,32222500,1222.6
2014-11-19,373.895996,386.480988,373.895996,380.554993,1.42%,78.12%,5.356995,5.356995,0,7.790851286,4.443015306,1.75350539,63.68265689,382.7217485,360.2053082,22.51644027,93.73621279,-71.21977252,18931800,1192.6
2014-11-20,380.307007,382.024994,356.781006,357.839996,-6.15%,82.78%,-22.714997,0,22.714997,7.234361908,5.748156856,1.258553322,55.72387023,383.7510809,360.6118082,23.13927269,94.36823677,-71.22896408,25233200,1196.6
2014-11-21,357.878998,357.878998,344.112,350.847992,-1.97%,82.77%,-6.992004,0,6.992004,6.717621772,5.83700308,1.150868293,53.50714857,382.7164129,360.4634998,22.25291307,93.17882267,-70.9259096,29850100,1188.7
2014-11-22,351.604004,364.841003,350.877991,352.920013,0.59%,82.73%,2.072021,2.072021,0,6.9465005,6.415642929,1.082744251,51.98642371,381.5494131,360.460846,21.08856712,92.87977516,-71.79120804,15273000,1198.4
2014-11-23,353.174988,370.845001,353.174988,367.572998,4.07%,81.74%,14.652985,14.652985,0,7.496963679,5.957382719,1.258432441,55.72150037,381.5392457,360.8437301,20.69551559,93.05727003,-72.36175444,15151600,1195.95
2014-11-24,366.947998,387.209015,366.669006,376.901001,2.51%,82.31%,9.328003,9.328003,0,7.627752202,5.531855382,1.378877732,57.96337127,377.650912,362.4325762,15.21833585,93.37101669,-78.15268085,30930100,1175.05
2014-11-25,376.885986,394.700989,374.783997,375.347992,-0.41%,82.35%,-1.553009,0,1.553009,7.082912759,5.247652069,1.349729873,57.44191655,373.8686626,363.5880761,10.28058647,93.02504784,-82.74446137,25442200,1175.68
2014-11-26,376.019012,377.697998,365.81601,368.369995,-1.88%,52.04%,-6.977997,0,6.977997,3.0827855,7.0250005,0.438830645,30.49911722,371.4146628,364.7438062,6.670856596,92.4631643,-85.7923077,18601700,1173.8
2014-11-27,370.502014,373.992004,368.282013,369.670013,0.35%,52.34%,1.300018,1.300018,0,2.955444964,6.52321475,0.453065716,31.17998803,370.8760808,366.4330762,4.443004679,91.98182106,-87.53881638,8748030,1195.4
2014-11-28,369.373993,382.838013,358.454987,376.446991,1.82%,48.84%,6.776978,6.776978,0,3.22841161,6.057270839,0.532981221,34.76762885,369.9231643,368.377499,1.545665372,91.46696858,-89.92130321,22946500,1183.1
2014-11-29,376.152008,387.601013,372.144989,375.490997,-0.25%,42.66%,-0.955994,0,0.955994,2.99781078,5.692893922,0.526588203,34.49444991,368.9300816,370.2212302,-1.291148571,91.13717036,-92.42831893,15375600,1200.24
2014-11-30,375.51001,382.527008,373.30899,378.046997,0.68%,40.45%,2.556,2.556,0,3.003071429,3.705570857,0.810420727,44.76422055,369.1674982,372.0502683,-2.882770179,91.05073552,-93.9335057,9194440,1183.95
2014-12-01,378.248993,383.661987,376.669006,379.244995,0.32%,40.50%,1.197998,1.197998,0,2.874137612,3.440887224,0.835289687,45.51268897,369.0583317,373.5794608,-4.521129103,90.92596201,-95.44709111,11763000,1181.97
2014-12-02,379.25,384.037994,377.863007,381.315002,0.54%,38.08%,2.070007,2.070007,0,2.816699711,3.195109566,0.881565922,46.85277895,371.0145822,374.8111913,-3.796609103,90.50174652,-94.29835562,12364100,1189.18
2014-12-03,381.721985,383.026001,374.346008,375.01001,-1.67%,38.28%,-6.304992,0,6.304992,2.615506875,3.417244025,0.76538487,43.355128,373.0280837,376.0648452,-3.036761487,90.05197509,-93.08873658,13340100,1204.45
2014-12-04,375.717987,378.654999,367.759003,369.604004,-1.45%,27.58%,-5.406006,0,5.406006,2.853857857,2.013571571,1.417311357,58.63172541,374.4184163,376.9923835,-2.57396725,89.95446821,-92.52843546,14529600,1219.2
2014-12-05,369.441986,379.191986,365.756012,376.854004,1.94%,26.50%,7.25,7.25,0,3.16786801,1.869745031,1.694278074,62.88430621,375.1918334,377.5150757,-2.323242237,90.45781535,-92.78105758,15181800,1210.8
2014-12-06,376.756989,378.447998,370.945007,374.785004,-0.55%,26.87%,-2.069,0,2.069,2.941591724,1.883977528,1.561373042,60.95843972,375.0155003,377.8174215,-2.801921205,90.77203528,-93.57395648,7009320,1208.98
2014-12-07,374.835999,376.291992,373.274994,375.095001,0.08%,21.11%,0.309997,0.309997,0,2.753620672,1.749407705,1.574030264,61.15041793,374.9944178,378.1020367,-3.107618942,90.92761777,-94.03523671,6491650,1223.4
2014-12-08,374.964996,376.028992,361.885986,361.908997,-3.58%,23.56%,-13.186004,0,13.186004,1.532928429,2.603785857,0.588730607,37.05666678,374.4560013,375.7308056,-1.274804365,90.88758373,-92.16238809,18898700,1233.64
2014-12-09,361.894989,363.066986,344.950989,352.218994,-2.71%,25.72%,-9.690003,0,9.690003,1.423433541,3.109944224,0.457703881,31.39896154,373.0017497,373.0955752,-0.093825526,90.5512935,-90.64511903,32915500,1230.88
2014-12-10,352.204987,352.384003,346.36499,346.36499,-1.68%,25.52%,-5.854004,0,5.854004,1.321759716,3.305948494,0.399812556,28.56186381,370.4949163,371.1166135,-0.621697288,90.10987264,-90.73156993,16427700,1229.95
2014-12-11,344.339996,361.356995,338.763,350.506012,1.19%,26.26%,4.141022,4.141022,0,1.523135594,3.069809316,0.49616619,33.16250518,368.4128342,370.1309603,-1.718126141,89.70408804,-91.42221418,32431300,1261.64
2014-12-12,350.833008,352.983002,349.290985,352.541992,0.58%,24.73%,2.03598,2.03598,0,1.397214571,3.1047145,0.450029969,31.03590815,366.2874171,368.7717297,-2.484312571,89.30959341,-91.79390598,16989800,1280.3
2014-12-13,352.381012,352.381012,346.588013,347.376007,-1.48%,25.07%,-5.165985,0,5.165985,1.297413531,3.251948107,0.398965017,28.51858423,363.6316681,367.232038,-3.600369917,88.6662048,-92.26657471,11675900,1277.08
2014-12-14,346.72699,353.31601,345.417999,351.631989,1.22%,25.68%,4.255982,4.255982,0,1.50873985,3.019666099,0.499637973,33.31723937,361.1580837,366.325653,-5.167569372,87.89215412,-93.05972349,12415200,1293.94
2014-12-15,351.360992,351.815002,344.93399,345.345001,-1.80%,25.92%,-6.286988,0,6.286988,1.400972718,3.253046235,0.430664865,30.10242829,358.6859996,364.9714226,-6.285422994,87.08634765,-93.37177065,17264200,1293.44
2014-12-16,345.673004,345.859009,327.062012,327.062012,-5.44%,32.17%,-18.282989,0,18.282989,1.285212929,5.1604265,0.249051688,19.93926193,355.1408336,363.787654,-8.646820378,85.98465231,-94.63147269,30864900,1301.73
2014-12-17,326.855011,333.95401,315.152008,319.776001,-2.25%,32.46%,-7.286011,0,7.286011,1.193412005,5.312253964,0.224652664,18.34419429,350.3843333,362.5925774,-12.20824405,85.07113389,-97.27937794,37567900,1294.55
2014-12-18,319.785004,323.709015,304.231995,311.395996,-2.66%,33.08%,-8.380005,0,8.380005,1.10816829,5.531379038,0.200342136,16.69041933,345.101916,360.9954998,-15.89358381,84.13602149,-100.0296053,39173000,1281.24
2014-12-19,311.178986,318.53299,306.769012,317.842987,2.05%,33.29%,6.446991,6.446991,0,1.48951277,5.136280536,0.289998328,22.48051971,340.3309148,359.0828071,-18.75189224,83.45196884,-102.2038611,23823100,1292.35
2014-12-20,317.618988,330.325012,316.044006,329.955994,3.74%,39.37%,12.113007,12.113007,0,2.093069929,5.295142071,0.395281165,28.32985746,337.6681646,357.2772299,-19.6090653,82.87011425,-102.4791795,20856700,1285.1
2014-12-21,329.542999,329.628998,318.903015,320.842987,-2.80%,39.86%,-9.113007,0,9.113007,1.943564934,5.567846709,0.349069404,25.87482921,335.0534973,355.1808835,-20.12738621,82.01221798,-102.1396042,15207600,1257.25
2014-12-22,321.067993,334.117004,320.424988,331.885986,3.38%,42.39%,11.042999,11.042999,0,2.59352451,5.170143373,0.50163493,33.40591778,333.8469137,353.7776524,-19.93073876,81.63147087,-101.5622096,22315100,1283.55
2014-12-23,332.016998,336.286987,329.60199,334.571991,0.81%,41.64%,2.686005,2.686005,0,2.600130259,4.800847418,0.541598187,35.13225377,332.5190786,352.4277285,-19.90864992,81.01101847,-100.9196684,16574200,1275.44
2014-12-24,334.38501,334.740997,321.356995,322.533997,-3.66%,43.65%,-12.037994,0,12.037994,3.051570429,4.753784214,0.641924473,39.09585878,330.0184123,350.3541518,-20.33573947,80.43297246,-100.7687119,15092300,1260.2
2014-12-25,322.286011,322.670013,316.958008,319.007996,-1.10%,43.00%,-3.526001,0,3.526001,2.833601112,4.666085413,0.607275877,37.78292736,327.6544114,348.1817287,-20.52731728,80.06015915,-100.5874764,9883640,1270.05
2014-12-26,319.152008,331.424011,316.627014,327.924011,2.76%,45.17%,8.916015,8.916015,0,3.268059247,4.332793598,0.754261465,42.99595471,325.6787466,346.2539215,-20.57517496,80.08599319,-100.6611681,16410500,1264.7
2014-12-27,327.583008,328.911011,312.630005,315.863007,-3.75%,47.09%,-12.061004,0,12.061004,3.034626444,4.884808627,0.62123753,38.31872371,323.2219138,343.8161528,-20.59423902,79.95065341,-100.5448924,15185200,1233.72
2014-12-28,316.160004,320.028015,311.078003,317.239014,0.43%,46.60%,1.376007,1.376007,0,3.041501714,5.498142786,0.553187109,35.61625679,322.4033306,341.3516917,-18.94836111,79.68423136,-98.63259247,11676600,1239.68
2014-12-29,317.700989,320.266998,312.307007,312.670013,-1.45%,46.46%,-4.569001,0,4.569001,2.824251592,5.431775515,0.519949984,34.20836142,321.8111649,338.9539995,-17.14283458,79.11725695,-96.26009154,12302500,1234
2014-12-30,312.718994,314.80899,309.372986,310.737,-0.62%,41.15%,-1.933013,0,1.933013,2.622519335,5.181863907,0.506095757,33.60315933,321.7562486,336.689884,-14.93363538,78.87377432,-93.8074097,12528300,1219.16
2014-12-31,310.914001,320.192993,310.210999,320.192993,3.00%,42.49%,9.455993,9.455993,0,3.110624597,4.811730771,0.646466884,39.26388621,321.9520824,334.5106143,-12.55853189,78.59601341,-91.1545453,13942900,1222.5
2015-01-01,320.434998,320.434998,314.002991,314.248993,-1.87%,41.66%,-5.944,0,5.944,3.716929786,3.513144286,1.058006584,51.40929054,320.6431657,332.1823062,-11.53914053,78.31523668,-89.85437721,8036550,1229.7
2015-01-02,314.07901,315.838989,313.565002,315.032013,0.25%,40.69%,0.78302,0.78302,0,3.507364801,3.262205408,1.075151427,51.81074563,320.1589178,329.8721913,-9.713273436,78.19956862,-87.91284206,7860650,1231.47
2015-01-03,314.846008,315.149994,281.082001,281.082001,-11.40%,59.58%,-33.950012,0,33.950012,3.256838744,5.454191593,0.597125841,37.38752613,315.9252524,326.7634607,-10.83820824,77.68233962,-88.52054786,33054400,1209.4
2015-01-04,281.145996,287.230011,257.612,264.195007,-6.20%,63.05%,-16.886994,0,16.886994,3.024207405,6.270820337,0.482266632,32.53575448,310.0605038,323.3779227,-13.31741894,76.64177319,-89.95919213,55629100,1212.99
2015-01-05,265.084015,278.341003,265.084015,274.473999,3.82%,63.71%,10.278992,10.278992,0,2.392573714,6.493429929,0.368460697,26.92519394,306.0555039,320.6128846,-14.55738066,76.08107422,-90.63845488,43962800,1207.45
2015-01-06,274.610992,287.553009,272.696014,286.188995,4.18%,67.43%,11.714996,11.714996,0,3.05846102,6.029613505,0.507239978,33.65356448,303.3205872,318.1391532,-14.81856599,75.65584372,-90.47440971,23245700,1202.39
2015-01-07,286.076996,298.753998,283.07901,294.337006,2.81%,68.27%,8.148011,8.148011,0,3.422000305,5.598926826,0.61118861,37.93402003,300.5216701,315.9004998,-15.37882976,75.31589917,-90.69472894,24866800,1201.92
2015-01-08,294.13501,294.13501,282.174988,283.348999,-3.80%,69.57%,-10.988007,0,10.988007,3.177571711,5.983861124,0.531023639,34.68422209,297.8121694,313.4379226,-15.6257532,74.69572153,-90.32147472,19982500,1199.89
2015-01-09,282.382996,291.114014,280.53299,290.40799,2.46%,69.28%,7.058991,7.058991,0,3.486857857,6.166573643,0.565444939,36.12039778,295.5762508,311.0831534,-15.50690267,73.93878512,-89.44568779,18718600,1204.8
2015-01-10,287.303009,288.127014,273.966003,274.79599,-5.53%,71.10%,-15.612,0,15.612,3.237796582,6.841246954,0.473275794,32.124046,292.4200822,308.3697299,-15.94964776,72.97585955,-88.92550731,15264300,1209.05
2015-01-11,274.608002,279.638,265.039001,265.660004,-3.38%,71.45%,-9.135986,0,9.135986,3.006525397,7.005156886,0.429187447,30.03017188,288.6636658,306.0081142,-17.3444484,71.84046133,-89.18490972,18200800,1213.15
